#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
195,Disconnected,James Hype,2021-12-10,126,81,84,-6,59,3:15,1,63,405,7826,Dance/Electronic
196,Let Me Take You,CID,2022-05-13,126,91,87,-4,91,2:35,1,63,192,7956,Dance/Electronic
197,Drinkee - Vintage Culture & John Summit Remix,Sofi Tukker,2021-07-23,124,73,74,-6,37,3:25,2,62,100,2067,Dance/Electronic
198,Give It to Me,Matt Sassari,2021-06-04,126,66,84,-8,55,3:30,0,62,20,117,Dance/Electronic
199,It's A Killa,FISHER,2022-03-11,126,91,78,-5,81,3:20,0,62,1303,6554,Dance/Electronic
200,The Calling,Tchami,2022-05-20,125,87,75,-6,35,3:18,1,62,402,3772,Dance/Electronic
201,Billie (loving arms),Fred again..,2021-08-31,128,78,65,-5,37,3:37,6,61,719,664,Dance/Electronic
202,Under The Sun,Franky Wah,2022-05-06,122,92,63,-7,10,3:28,1,61,845,4758,Dance/Electronic
203,Back Tomorrow,Ferreck Dawn,2021-10-29,125,79,69,-7,54,1:59,6,61,403,2311,Dance/Electronic
204,Sete,BLOND:ISH,2022-03-25,125,83,74,-4,81,3:30,2,61,101,7556,Dance/Electronic
205,More Love,Noizu,2022-07-29,124,95,57,-5,28,3:12,0,60,193,4933,Dance/Electronic
206,Don’t Keep Me Waiting,SIDEPIECE,2022-02-25,126,81,73,-7,30,3:30,5,60,846,5334,Dance/Electronic
207,Like That,Seamus D,2021-12-10,124,75,72,-8,20,3:01,2,60,427,1301,Dance/Electronic
208,Liquor Store,Joel Corry,2022-02-02,125,93,80,-7,73,3:22,2,60,551,3003,Dance/Electronic
209,A Drug From God,Chris Lake,2021-11-12,126,88,71,-4,82,3:12,1,60,1304,6314,Dance/Electronic
210,Know My Name,TS7,2022-07-28,128,92,70,-5,60,3:04,3,60,428,4894,Dance/Electronic
211,I Want You,La Fuente,2022-04-15,125,83,78,-8,29,3:39,6,60,429,8661,Dance/Electronic
212,My Love,Jethro Heston,2022-04-29,126,78,79,-5,57,2:36,44,60,430,2678,Dance/Electronic
213,The Music Began To Play,Mark Knight,2022-08-12,127,94,74,-3,27,2:26,0,60,194,3472,Dance/Electronic
214,Nightjar (feat. SHELLS),Vintage Culture,2022-01-28,124,86,78,-5,74,2:29,7,59,332,3360,Dance/Electronic
215,Dancing,James Hype,2021-10-08,125,88,74,-8,38,4:00,37,59,815,1489,Dance/Electronic
216,We Don’t Need - Club Edit,Piero Pirupa,2022-03-25,125,81,73,-7,40,2:38,0,59,195,5413,Dance/Electronic
217,79,Rain Radio,2022-02-18,125,70,81,-7,59,2:48,1,58,196,4151,Dance/Electronic
218,Lights Go Out,Chapter & Verse,2021-04-30,126,89,62,-6,28,3:47,10,58,102,8641,Dance/Electronic
219,Make Me Feel,John Summit,2021-03-26,126,67,77,-9,43,3:22,2,58,810,9571,Dance/Electronic
220,Pump the Brakes,Dom Dolla,2021-03-26,124,67,81,-7,50,3:41,1,57,847,5637,Dance/Electronic
221,Crank,James Hype,2022-09-16,126,91,85,-5,33,2:59,2,58,1215,8383,Dance/Electronic
222,Chromatic,Anti Up,2022-05-27,128,91,61,-5,78,3:23,0,57,431,3710,Dance/Electronic
223,Cleo - Edit,Shygirl,2021-10-26,126,61,61,-8,36,3:09,1,57,848,4928,Dance/Electronic
224,Be My One,Sonny Fodera,2022-04-08,121,91,67,-5,66,2:22,2,57,816,4869,Dance/Electronic
225,Love You Like That,Cloonee,2021-09-17,125,66,91,-12,92,2:55,1,57,46,341,Dance/Electronic
226,Can You Pay?,Paul Woolford,2022-07-08,125,85,63,-6,30,2:14,1,57,432,5210,Dance/Electronic
227,Your Body,Biscits,2021-06-18,127,74,83,-7,92,3:27,17,57,103,2141,Dance/Electronic
228,My Paradise,Jamie Jones,2022-04-29,128,74,75,-9,89,3:31,0,57,104,1140,Dance/Electronic
229,Out The Fire (At The Hotel) - Radio Edit,Franky Rizardo,2021-06-18,128,91,85,-6,54,3:35,15,57,433,6379,Dance/Electronic
230,Tripasia,Cloonee,2022-03-25,128,77,84,-8,56,2:57,10,57,552,1748,Dance/Electronic
231,Love Again,CHANEY,2022-01-21,126,88,68,-5,38,3:11,9,56,434,5573,Dance/Electronic
232,Dancing Cliché,LF SYSTEM,2021-10-22,128,92,81,-5,94,2:33,0,56,1470,6237,Dance/Electronic
233,Wait A Minute,Biscits,2021-10-15,126,100,86,-6,6,3:35,5,56,849,1881,Dance/Electronic
234,Temptation,SIDEPIECE,2021-03-19,125,88,81,-5,62,3:13,1,56,1471,4489,Dance/Electronic
